candidate_id	axis	category	topic	statement_id	statement_text	value	source	confidence	justification
ענבר בזק	דעות	דמוקרטיה, משילות ותיקון מוסדות המדינה	הגנה על הדמוקרטיה, שלטון החוק וקווים אדומים	D-001	נטייה לתיקון חוקתי ומוסדי עמוק, ולא רק להחלפת ממשלה	mixed	profile_text	65	הפרופיל מציין הצטרפות למחנה הדמוקרטי־ליברלי ושלטון חוק, אך לא מציג תכנית חוקתית־מוסדית עמוקה.
ענבר בזק	דעות	דמוקרטיה, משילות ותיקון מוסדות המדינה	הגנה על הדמוקרטיה, שלטון החוק וקווים אדומים	D-002	ראיית המשבר הדמוקרטי כתוצאה של שיטה פוליטית פגומה ולא רק של אדם או ממשלה מסוימת	mixed	profile_text	66	הפרופיל מדגיש כשלי מדיניות כלפי עצמאים ופריפריה, אך לא מציג ניתוח שיטתי של פגם מבני בדמוקרטיה.
ענבר בזק	דעות	דמוקרטיה, משילות ותיקון מוסדות המדינה	הגנה על הדמוקרטיה, שלטון החוק וקווים אדומים	D-003	נכונות למאבק ציבורי חריף כאשר מוסדות המדינה נתפסים כמאוימים	mixed	profile_text	62	הפרופיל מציין הזדהות עם המחנה הדמוקרטי־ליברלי, אך מציג אותה כאשת ביצוע פרגמטית יותר מאשר מובילת מאבק חריף.
ענבר בזק	דעות	דמוקרטיה, משילות ותיקון מוסדות המדינה	ממלכתיות, שקיפות ושירות ציבורי מקצועי	D-004	העדפה לשיקום ממלכתי, זהיר ומוסדי של המדינה לאחר המשבר	supports	profile_text	80	הפרופיל מתאר גישה פרגמטית־אזרחית, ביצועית ומוסדית לשיקום ולפתרון בעיות.
ענבר בזק	דעות	דמוקרטיה, משילות ותיקון מוסדות המדינה	ממלכתיות, שקיפות ושירות ציבורי מקצועי	D-005	תמיכה בשיתוף ציבור, דמוקרטיה פנימית ושקיפות בתוך המפלגה ובמערכת הפוליטית	mixed	profile_text	66	הקמת 'עצמאים עושים שינוי' מצביעה על ארגון ציבורי אזרחי, אך אין בפרופיל עמדה מפורשת על דמוקרטיה פנימית ושקיפות מפלגתית.
ענבר בזק	דעות	דמוקרטיה, משילות ותיקון מוסדות המדינה	הגנה על הדמוקרטיה, שלטון החוק וקווים אדומים	D-006	נכונות להגביל כוח שלטוני גם כאשר הכוח נמצא בידי המחנה הקרוב אידיאולוגית	mixed	profile_text	65	יש בסיס כללי לשלטון חוק ולמאבק בשחיתות, אך אין בפרופיל עדות מפורשת להגבלת כוח גם במחנה הקרוב אליה.
ענבר בזק	דעות	יחס למחנה השני ויכולת גישור	גישור עם המחנה השני ובריתות רחבות	D-007	ראיית מצביעי המחנה השני כיריבים פוליטיים לגיטימיים ולא כאויבים	supports	profile_text	72	הפרופיל מציג אותה כפרגמטית ומרכז־ליברלית, פחות כאשת מחנה אידיאולוגי נוקשה.
ענבר בזק	דעות	יחס למחנה השני ויכולת גישור	גישור עם המחנה השני ובריתות רחבות	D-008	הבחנה בין הנהגת המחנה השני לבין הציבור הרחב שתומך בה	mixed	profile_text	64	הפרופיל תומך בגישה פרגמטית ולא רדיקלית, אך אינו מבחין במפורש בין הנהגת המחנה היריב לבין ציבור תומכיו.
ענבר בזק	דעות	יחס למחנה השני ויכולת גישור	גישור עם המחנה השני ובריתות רחבות	D-009	אמונה שאפשר לבנות גשר מחודש בין המחנה הדמוקרטי־ליברלי לבין חלקים מהימין המסורתי	supports	profile_text	72	הפרופיל מתאר אותה כליברלית־מרכזית ולא כשמאל מדיני רדיקלי, ולכן יש בסיס חלקי־טוב ליכולת גישור למחנות מתונים.
ענבר בזק	דעות	יחס למחנה השני ויכולת גישור	הגנה על הדמוקרטיה, שלטון החוק וקווים אדומים	D-010	העדפה להכרעה פוליטית ברורה על פני פיוס מוקדם עם המחנה השני	opposes	profile_text	64	הפרופיל מדגיש פתרון בעיות מעשיות ופרגמטיות יותר מהעדפה להכרעה פוליטית חדה.
ענבר בזק	דעות	יחס למחנה השני ויכולת גישור	גישור עם המחנה השני ובריתות רחבות	D-011	נכונות לשיח עם דתיים, מסורתיים, חרדים וימנים גם כאשר קיימת מחלוקת ערכית עמוקה	mixed	profile_text	61	הפרופיל מציג גישה פרגמטית, אך אין בו תיעוד ישיר לשיח עם דתיים, חרדים או ימנים במחלוקת ערכית עמוקה.
ענבר בזק	דעות	יחס למחנה השני ויכולת גישור	גישור עם המחנה השני ובריתות רחבות	D-012	ראיית חלק מהמחנה השני כשותף עתידי אפשרי לשיקום המדינה לאחר עידן נתניהו	mixed	profile_text	62	הפרופיל מצביע על קו מרכז־ליברלי פרגמטי, אך אינו מציין במפורש ראיית חלק מהמחנה השני כשותפים עתידיים.
ענבר בזק	דעות	שסעים פנימיים בחברה היהודית	תיקון השסעים בחברה היהודית	D-013	ראיית השסע העדתי והפריפריאלי כמרכיב מרכזי במשבר הפוליטי בישראל	supports	profile_text	86	הפרופיל מציג את הצפון והפריפריה הגיאוגרפית והחברתית כציר מרכזי בזהותה הפוליטית.
ענבר בזק	דעות	שסעים פנימיים בחברה היהודית	תיקון השסעים בחברה היהודית	D-014	נכונות לדבר עם מצביעים מזרחים, מסורתיים ופריפריאליים בשפה שאינה מתנשאת ואינה רק ליברלית־אשכנזית	mixed	profile_text	68	היא מזוהה עם פריפריה וצפון ומדברת בשפה מעשית, אך אין בפרופיל דגש מובהק על מצביעים מזרחים או מסורתיים.
ענבר בזק	דעות	שסעים פנימיים בחברה היהודית	תיקון השסעים בחברה היהודית	D-015	ראיית השסע הדתי־חילוני כאיום מרכזי על הלכידות של החברה היהודית בישראל	unknown	profile_text	0	לא נמצאה בפרופיל התייחסות מספקת לשסע הדתי־חילוני כאיום מרכזי.
ענבר בזק	דעות	שסעים פנימיים בחברה היהודית	תיקון השסעים בחברה היהודית	D-016	תמיכה בבניית ברית חדשה בין ליברלים, מסורתיים, דתיים מתונים ופריפריה חברתית	mixed	profile_text	65	הפרופיל מחבר בין ליברליות, פריפריה ועסקים קטנים, אך אינו מציג ברית מפורשת עם מסורתיים או דתיים מתונים.
