statement_id,axis,topic_code,topic,statement_text,statement_role,statement_weight,is_core,source_status,review_status,notes
T-001,tadmit,T01,זהות וייצוג,המועמד מייצג את הקול הנשי בזירה הציבורית.,supporting,0.75,no,existing,ok,
T-002,tadmit,T01,זהות וייצוג,"המועמד נתפס בציבור הרחב כמי שמבין חסמים ייחודיים של נשים בפוליטיקה, בעבודה ובחברה.",supporting,0.75,no,existing,ok,
T-003,tadmit,T01,זהות וייצוג,המועמד נתפס בציבור הרחב כמי שנותן מקום מכבד לקבוצות מיעוט בחברה הישראלית.,supporting,0.75,no,existing,ok,
T-004,tadmit,T01,זהות וייצוג,המועמד נתפס בציבור הרחב כמי שיכול לייצג את בני המיעוטים הלא יהודיים.,supporting,0.75,no,existing,ok,
T-005,tadmit,T01,זהות וייצוג,המועמד נתפס בציבור הרחב כמי שמביא את קול הפריפריה או מבין לעומק את צרכיה.,supporting,0.75,no,existing,ok,
T-006,tadmit,T01,זהות וייצוג,המועמד נתפס בציבור הרחב כמי שיכול לצמצם את הפער התדמיתי והמעשי בין המרכז לפריפריה.,supporting,0.75,no,existing,ok,
T-007,tadmit,T01,זהות וייצוג,המועמד נתפס בציבור הרחב כמי שמביא גאווה בזהות מזרחית בלי להפוך אותה לשסע מפריד.,supporting,0.75,no,existing,ok,
T-008,tadmit,T01,זהות וייצוג,המועמד נתפס בציבור הרחב כמי שמכבד זהות דתית ומסורתית בתוך מרחב דמוקרטי וליברלי.,supporting,0.75,no,existing,ok,
T-009,tadmit,T01,זהות וייצוג,"המועמד נתפס בציבור הרחב כמי שיכול לגשר בין חילונים, מסורתיים ודתיים.",supporting,0.75,no,existing,ok,
T-010,tadmit,T01,זהות וייצוג,המועמד נתפס בציבור הרחב כמי שנוכחותו ברשימה מרחיבה את תחושת הייצוג של קהלים מגוונים.,supporting,0.75,no,existing,ok,
T-011,tadmit,T01,זהות וייצוג,המועמד נתפס בציבור הרחב כמי שמוסיף לרשימה עומק חברתי ולא רק ניסיון פוליטי או תקשורתי.,supporting,0.75,no,existing,ok,
T-012,tadmit,T02,ממלכתיות ואחריות,המועמד נתפס בציבור הרחב כבעל עמוד שדרה ערכי.,supporting,0.75,no,existing,ok,
T-013,tadmit,T02,ממלכתיות ואחריות,המועמד נתפס בציבור הרחב כדמות ממלכתית ואחראית.,supporting,0.75,no,existing,ok,
T-014,tadmit,T02,ממלכתיות ואחריות,המועמד נתפס בציבור הרחב כמי שמכבד מוסדות מדינה ושלטון חוק.,supporting,0.75,no,existing,ok,
T-015,tadmit,T02,ממלכתיות ואחריות,המועמד נתפס בציבור הרחב כמי שמסוגל לפעול מתוך שיקול דעת ולא רק מתוך כעס.,supporting,0.75,no,existing,ok,
T-016,tadmit,T03,יושרה ואמינות,המועמד נתפס בציבור הרחב כמי שפועל מתוך שליחות ולא רק מתוך קריירה.,supporting,0.75,no,existing,ok,
T-017,tadmit,T03,יושרה ואמינות,המועמד נתפס בציבור הרחב כאדם אמין וישר.,supporting,0.75,no,existing,ok,
T-018,tadmit,T03,יושרה ואמינות,המועמד נתפס בציבור הרחב כדמות רצינית ולא כגימיק תקשורתי.,supporting,0.75,no,existing,ok,
T-019,tadmit,T03,יושרה ואמינות,המועמד נתפס בציבור הרחב כמי שאפשר לסמוך עליו בתפקיד ציבורי.,supporting,0.75,no,existing,ok,
T-020,tadmit,T03,יושרה ואמינות,המועמד נתפס בציבור הרחב כבעל ניסיון ציבורי משמעותי.,supporting,0.75,no,existing,ok,
T-021,tadmit,T03,יושרה ואמינות,המועמד נתפס בציבור הרחב כמי שמבין איך פועלת מערכת פוליטית.,supporting,0.75,no,existing,ok,
T-022,tadmit,T04,תקשורתיות ונראות,המועמד נתפס בציבור הרחב כדמות תקשורתית חזקה.,supporting,0.75,no,existing,ok,
T-023,tadmit,T04,תקשורתיות ונראות,המועמד נתפס בציבור הרחב כמי שיודע להעביר מסר ברור.,supporting,0.75,no,existing,ok,
T-024,tadmit,T04,תקשורתיות ונראות,המועמד נתפס בציבור הרחב כמי שמסוגל לבלוט בקמפיין בחירות.,supporting,0.75,no,existing,ok,
T-025,tadmit,T04,תקשורתיות ונראות,המועמד נתפס בציבור הרחב כמי שמביא ייצוג חשוב לרשימה.,supporting,0.75,no,existing,ok,
T-026,tadmit,T04,תקשורתיות ונראות,המועמד נתפס בציבור הרחב כמי שמרחיב את הדימוי של המפלגה.,supporting,0.75,no,existing,ok,
T-027,tadmit,T05,אותנטיות וסיפור אישי,המועמד נתפס בציבור הרחב כמי שפועל מתוך שליחות ולא רק מתוך קריירה.,supporting,0.75,no,existing,ok,duplicate text with T-016 — review needed
