"candidate_id","axis","category","statement_id","statement_text","value","source","confidence","justification"
"לי הופמן אגיב","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-001","נטייה לתיקון חוקתי ומוסדי עמוק, ולא רק להחלפת ממשלה","supports","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","82","המקורות מציגים אותה כמובילת מחאה אזרחית וכמי שמחברת מאבק דמוקרטי, אחריות שלטונית וחיזוק מוסדות; יש בסיס טוב לתמיכה בהיגד."
"לי הופמן אגיב","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-002","ראיית המשבר הדמוקרטי כתוצאה של שיטה פוליטית פגומה ולא רק של אדם או ממשלה מסוימת","supports","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","82","המקורות מציגים אותה כמובילת מחאה אזרחית וכמי שמחברת מאבק דמוקרטי, אחריות שלטונית וחיזוק מוסדות; יש בסיס טוב לתמיכה בהיגד."
"לי הופמן אגיב","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-003","נכונות למאבק ציבורי חריף כאשר מוסדות המדינה נתפסים כמאוימים","supports","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","82","המקורות מציגים אותה כמובילת מחאה אזרחית וכמי שמחברת מאבק דמוקרטי, אחריות שלטונית וחיזוק מוסדות; יש בסיס טוב לתמיכה בהיגד."
"לי הופמן אגיב","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-004","העדפה לשיקום ממלכתי, זהיר ומוסדי של המדינה לאחר המשבר","mixed","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","62","יש בסיס לשיקום דמוקרטי, אך הדימוי המרכזי הוא של מאבק שטח נחרץ ולאו דווקא שיקום מוסדי זהיר בלבד."
"לי הופמן אגיב","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-005","תמיכה בשיתוף ציבור, דמוקרטיה פנימית ושקיפות בתוך המפלגה ובמערכת הפוליטית","supports","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","82","המקורות מציגים אותה כמובילת מחאה אזרחית וכמי שמחברת מאבק דמוקרטי, אחריות שלטונית וחיזוק מוסדות; יש בסיס טוב לתמיכה בהיגד."
"לי הופמן אגיב","דעות","דמוקרטיה, משילות ותיקון מוסדות המדינה","D-006","נכונות להגביל כוח שלטוני גם כאשר הכוח נמצא בידי המחנה הקרוב אידיאולוגית","supports","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","82","המקורות מציגים אותה כמובילת מחאה אזרחית וכמי שמחברת מאבק דמוקרטי, אחריות שלטונית וחיזוק מוסדות; יש בסיס טוב לתמיכה בהיגד."
"לי הופמן אגיב","דעות","יחס למחנה השני ויכולת גישור","D-007","ראיית מצביעי המחנה השני כיריבים פוליטיים לגיטימיים ולא כאויבים","mixed","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","58","המקורות מדגישים מאבק דמוקרטי ושוויון, אך אינם מספקים עמדה מפורטת על לגיטימציה וגשר למחנה השני."
"לי הופמן אגיב","דעות","יחס למחנה השני ויכולת גישור","D-008","הבחנה בין הנהגת המחנה השני לבין הציבור הרחב שתומך בה","mixed","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","58","המקורות מדגישים מאבק דמוקרטי ושוויון, אך אינם מספקים עמדה מפורטת על לגיטימציה וגשר למחנה השני."
"לי הופמן אגיב","דעות","יחס למחנה השני ויכולת גישור","D-009","אמונה שאפשר לבנות גשר מחודש בין המחנה הדמוקרטי־ליברלי לבין חלקים מהימין המסורתי","mixed","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","56","המעבר ממחאה לפוליטיקה והעיסוק בשוויון מאפשרים בסיס חלקי לגישור, אך לא נמצאה תוכנית מפורשת לאיחוי בין מחנות."
"לי הופמן אגיב","דעות","יחס למחנה השני ויכולת גישור","D-010","העדפה להכרעה פוליטית ברורה על פני פיוס מוקדם עם המחנה השני","supports","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","76","הפרופיל הציבורי שלה נשען על מאבק חד נגד פגיעה בדמוקרטיה, כפייה והדרה; לכן יש בסיס לקווים אדומים ולמאבק נחרץ."
