redline_id,axis,topic_code,topic,redline_title,condition_text,failure_text,ui_question,default_user_severity,severity_0_label,severity_1_label,severity_2_label,severity_3_label,decision_mode,notes
D01-R01,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית",הגבלת כוח שלטוני,המועמד מחויב להגבלת כוח שלטוני גם כאשר הכוח נמצא בידי המחנה שלו.,המועמד אינו מחויב להגבלת כוח שלטוני כאשר הכוח נמצא בידי המחנה שלו.,עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D01-R02,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית",בירור מחדלי 7 באוקטובר,המועמד תומך בבירור ממלכתי מלא של מחדלי 7 באוקטובר ובאחריות אישית של הדרג המדיני והביטחוני.,המועמד אינו תומך בבירור ממלכתי מלא של מחדלי 7 באוקטובר ובאחריות אישית.,עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D01-R03,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית",אי־טשטוש פגיעה דמוקרטית,המועמד אינו מוכן לטשטש פגיעה בכללי המשחק הדמוקרטיים בשם פשרה פוליטית.,המועמד מוכן לטשטש פגיעה בכללי המשחק הדמוקרטיים בשם פשרה פוליטית.,עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D01-R04,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית",שיקום אמון ושומרי סף,"המועמד תומך בשיקום אמון הציבור באמצעות שקיפות, אחריות ושומרי סף עצמאיים.","המועמד אינו תומך בשיקום אמון הציבור באמצעות שקיפות, אחריות ושומרי סף עצמאיים.",עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D01-R05,deot,D01,"דמוקרטיה, שלטון החוק ואחריות ציבורית",שיתוף פעולה דמוקרטי מחוץ למחנה,"המועמד פתוח לשיתוף פעולה עם גורמים מחוץ למחנה, אם הם מקבלים את כללי המשחק הדמוקרטיים.",המועמד שולל מראש שיתוף פעולה עם גורמים מחוץ למחנה גם כשהם מקבלים כללי משחק דמוקרטיים.,עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D02-R01,deot,D02,המאבק על ההגמוניה,הבנת מאבק ההגמוניה,"המועמד מבין שהמשבר בישראל קשור גם למאבק על מוקדי כוח, ייצוג והגמוניה.","המועמד אינו מבין שהמשבר בישראל קשור גם למאבק על מוקדי כוח, ייצוג והגמוניה.",עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D02-R02,deot,D02,המאבק על ההגמוניה,שפה לא מתנשאת לפריפריה,"המועמד מדבר אל מזרחים, מסורתיים ופריפריה בשפה שאינה מתנשאת, מנותקת או מחנכת.","המועמד מדבר אל מזרחים, מסורתיים או פריפריה בשפה מתנשאת, מנותקת או מחנכת.",עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D02-R03,deot,D02,המאבק על ההגמוניה,ביקורת עצמית על המחנה הליברלי,"המועמד מוכן לבקר את המחנה הליברלי־מרכזי כאשר הוא מנותק, אליטיסטי או חסר רגישות לפריפריה.","המועמד אינו מוכן לבקר את המחנה הליברלי־מרכזי כשהוא מנותק, אליטיסטי או חסר רגישות לפריפריה.",עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D02-R04,deot,D02,המאבק על ההגמוניה,תיקון ייצוגי ממשי,המועמד מציע תיקון ייצוגי שמתמודד עם מוקדי כוח אמיתיים בחברה הישראלית ולא רק כסיסמה.,"המועמד מציע תיקון ייצוגי כסיסמה בלבד, בלי להתמודד עם מוקדי כוח אמיתיים.",עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D02-R05,deot,D02,המאבק על ההגמוניה,תיקון בלי פירוק מוסדות,המועמד מבקש לתקן ייצוג וכוח בלי לפרק מוסדות דמוקרטיים בשם תיקון ההגמוניה.,המועמד רוצה לפרק מוסדות בשם תיקון ההגמוניה במקום לתקן ייצוג וכוח בלי להרוס מסגרות דמוקרטיות.,עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
